tranaction_Id,transaction_date,district,complete_year,transaction_type,num_building,num_land,num_garage,garage_status,garage_label,total_floor_number,building_state,main_building_materials,land_shifting_total_area,building_shifting_total_area,main_building_area,subsidiary_building_area,balcony_area,num_room,num_bathroom,compartment,management_org,carpark_type,carpark_shifting_area,carpark_total_price,elevator,total_ntd,unit_ntd
21545,12/4/20,Zhongshan District,1980,Land+Building,1,1,0,0,No,7,Apartment_5to10storey,Reinforced Concrete,27.15,189.87,144.33,0,21.08,4,2,1,1,No carpark,0,0,1,25700000,135356
21546,12/22/20,Zhongshan District,1983,Land+Building,1,1,0,0,No,12,Apartment_11storeyorgreater,Reinforced Concrete,32.25,280.36,191.84,0,16.19,3,0,1,1,No carpark,0,0,1,62760000,223855
21547,12/18/20,Zhongshan District,2020,Land+Building+Garage,2,1,1,1,Yes,13,Apartment_11storeyorgreater,Reinforced Concrete,15.92,172.92,88.09,5.09,8.7,3,2,1,1,Lifting Plane,19.59,2600000,1,54500000,338486
21548,12/30/20,Datong District,1996,Land+Building,1,2,0,0,No,9,Apartment_5to10storey,Reinforced Concrete,8.88,79.21,48.78,0,8.08,2,1,1,0,No carpark,0,0,1,13880000,175230
21549,12/12/20,Datong District,1994,Land+Building,1,1,0,0,No,11,Apartment_11storeyorgreater,Reinforced Concrete,6.23,53.77,33.39,0,5.04,1,1,1,1,No carpark,0,0,1,10680000,198624
21550,9/13/20,Datong District,2009,Land+Building+Garage,1,1,1,1,Yes,15,Apartment_11storeyorgreater,Reinforced Concrete,18.03,165.07,74.96,1.5,9.71,3,2,1,1,Ramp Plane,44.01,0,1,28150000,170534
21551,12/27/20,ZhongZheng District,2004,Garage,1,1,1,1,Yes,8,Other,Reinforced Concrete,0.09,22.63,0,0,0,0,0,1,1,Ramp Plane,0,3250000,0,3250000,NULL
21552,12/18/20,Wanhua District,1989,Land+Building,1,1,0,0,No,14,Apartment_11storeyorgreater,Reinforced Concrete,24.09,180.43,152.58,0,19.69,4,2,1,1,No carpark,0,0,1,28000000,155185
21553,12/13/20,Wanhua District,2013,Land+Building+Garage,1,1,2,1,Yes,15,Apartment_11storeyorgreater,Reinforced Concrete,4.56,108.18,39.48,0,0,0,1,1,1,Lifting Machinery,49.53,4000000,1,20800000,286445
21554,12/18/20,Wenshan District,2020,Land+Building+Garage,1,1,1,1,Yes,26,Apartment_11storeyorgreater,Reinforced Concrete,16.31,145.88,65.44,5.55,6.52,3,2,1,1,Ramp Plane,0,0,1,25000000,171374
21555,12/4/20,Wenshan District,NULL,Land+Building,1,1,0,0,No,4,Apartment_5storey,NULL,30.25,69.36,69.36,0,0,4,4,1,0,No carpark,0,0,0,13100000,188870
21556,12/29/20,Wenshan District,NULL,Land+Building,1,1,0,0,No,5,Apartment_5storey,Reinforced Concrete,18,87.91,82.01,0,5.9,3,1,1,0,No carpark,0,0,0,9100000,103515
21557,12/19/20,Wenshan District,NULL,Land+Building,1,1,0,0,No,2,House,Strengthened Brickwork,41,58.16,58.16,0,0,1,1,1,0,No carpark,0,0,0,21500000,369670
21558,12/14/20,Wenshan District,1994,Land+Building,1,1,0,0,No,8,Apartment_5to10storey,Reinforced Concrete,36.01,122.73,88.73,11.66,10.47,3,2,1,1,No carpark,0,0,1,19000000,154811
21559,12/31/20,Wenshan District,1968,Land+Building,1,2,0,0,No,3,Apartment_5storey,Strengthened Brickwork,63.67,104.21,104.21,0,0,6,6,1,0,No carpark,0,0,0,18000000,172728
21560,12/18/20,Wenshan District,NULL,Land+Building,1,6,0,0,No,4,Apartment_5storey,Reinforced Concrete,32.64,94.59,94.59,0,0,0,1,1,0,No carpark,0,0,0,26980000,285231
21561,12/26/20,Wenshan District,1980,Land+Building,1,3,0,0,No,5,Apartment_5storey,Reinforced Concrete,51.38,88.43,74.58,0,13.85,3,2,1,1,No carpark,0,0,0,8800000,99514
21562,11/7/20,Wenshan District,1999,Land+Building,1,1,0,0,No,14,Apartment_11storeyorgreater,Reinforced Concrete,32.79,147.13,81.51,2.25,8.33,3,2,1,1,No carpark,0,0,1,25800000,175355
21563,11/27/20,Wenshan District,2013,Land+Building+Garage,1,2,1,1,Yes,11,Apartment_11storeyorgreater,Reinforced Concrete,33.23,174.01,81.13,5.71,7.99,3,2,1,1,Ramp Plane,42.65,0,1,26500000,152290
21564,12/7/20,Wenshan District,1993,Land+Building,1,1,0,0,No,8,Apartment_5to10storey,Reinforced Concrete,31.63,180.64,51.97,103.92,1.59,4,2,1,0,No carpark,0,0,1,19800000,109610
21565,12/4/20,Wenshan District,1995,Land+Building,1,1,0,0,No,11,Apartment_11storeyorgreater,Reinforced Concrete,17.68,77.99,58.2,0.84,6.36,2,1,1,1,No carpark,0,0,1,14960000,191819
21566,12/25/20,Datong District,1989,Land+Building+Garage,1,1,1,1,Yes,12,Apartment_11storeyorgreater,Reinforced Concrete,13.88,191.63,147.16,0.79,0,4,0,1,1,Lifting Plane,28.53,0,1,32000000,166988
21567,11/29/20,ZhongZheng District,2008,Land+Building,1,2,0,0,No,7,Apartment_5to10storey,Reinforced Concrete,6.35,30.84,13.08,0.87,3.28,1,1,1,1,No carpark,0,0,1,10200000,330739
21568,12/11/20,Datong District,2020,Land+Building,1,2,0,0,No,12,Apartment_11storeyorgreater,Reinforced Concrete,6.23,50.56,25.19,1.85,3.63,0,0,0,1,No carpark,0,0,1,11600000,229430
21569,11/12/20,Datong District,2020,Land+Building,1,2,0,0,No,12,Apartment_11storeyorgreater,Reinforced Concrete,6.2,50.31,25.03,1.85,3.63,0,0,0,1,No carpark,0,0,1,11400000,226595
21570,11/6/20,Datong District,2020,Land+Building+Garage,1,2,1,1,Yes,12,Apartment_11storeyorgreater,Reinforced Concrete,6.28,66.4,25.14,1.85,3.63,0,0,0,1,Lifting Plane,16.09,1800000,1,12850000,219682
21571,12/27/20,Wanhua District,1981,Land+Building,1,2,0,0,No,8,Apartment_5to10storey,Reinforced Concrete,4.5,38.46,22.23,0,4.92,1,1,1,1,No carpark,0,0,1,4500000,117005
21572,12/12/20,ZhongZheng District,1972,Land+Building,1,2,0,0,No,5,Apartment_5storey,Reinforced Concrete,16.2,69.8,69.8,0,0,0,1,1,0,No carpark,0,0,0,18300000,262178
21573,10/27/20,Datong District,2020,Land+Building,1,1,0,0,No,7,Apartment_5to10storey,Reinforced Concrete,11.63,67.14,32.68,2.69,3.32,1,1,1,1,No carpark,0,0,1,14013000,208713
21574,12/24/20,ZhongZheng District,1995,Land+Building,1,1,0,0,No,9,Apartment_5to10storey,Reinforced Concrete,4.83,42.51,22.05,0,5.11,0,1,1,1,No carpark,0,0,1,8600000,202305
21575,12/29/20,Wanhua District,NULL,Land+Building,1,1,0,0,No,3,Apartment_5storey,Strengthened Brickwork,26.67,65.73,65.73,0,0,0,1,1,0,No carpark,0,0,0,11750000,178762
21576,12/30/20,Datong District,1978,Land+Building,1,9,0,0,No,11,Apartment_11storeyorgreater,Reinforced Concrete,3.52,37.54,25.67,0,3.48,1,1,1,1,No carpark,0,0,1,1600000,42621
21577,10/28/20,Zhongshan District,1979,Land+Building,1,1,0,0,No,10,Apartment_5to10storey,Reinforced Concrete,3.36,29.36,22.99,0,0,1,1,1,1,No carpark,0,0,1,5000000,170300
21578,11/25/20,Neihu District,1997,Land+Building+Garage,1,4,1,1,Yes,19,Apartment_11storeyorgreater,Reinforced Concrete,31.91,181.98,97.08,1.3,13.74,3,2,1,1,Ramp Plane,0,0,1,29000000,159358
21579,12/20/20,Neihu District,1980,Land+Building,1,4,0,0,No,5,Apartment_5storey,Reinforced Concrete,24.89,89.16,77.54,0,11.62,2,2,1,0,No carpark,0,0,0,14100000,158143
21580,12/31/20,Zhongshan District,2019,Land+Building+Garage,1,2,1,1,Yes,17,Apartment_11storeyorgreater,Reinforced Concrete,15.99,142.96,59.71,6.83,4.87,2,1,1,1,Ramp Plane,38.04,2100000,1,27230000,239516
21581,9/27/20,Zhongshan District,2016,Land+Building+Garage,1,1,1,1,Yes,12,Apartment_11storeyorgreater,Other,9.6,114.08,39.08,0.36,3.68,2,1,1,1,Ramp Plane,0,0,1,21000000,184081
21582,11/26/20,Neihu District,1996,Land+Building+Garage,1,2,1,1,Yes,15,Apartment_11storeyorgreater,Reinforced Concrete,120.54,237.11,147.68,2.36,18.78,4,2,1,1,Ramp Plane,0,0,1,33500000,141285
21583,12/9/20,Neihu District,1983,Land+Building,1,1,0,0,No,5,Apartment_5storey,Reinforced Concrete,27.8,92.9,85.63,7.27,0,1,1,1,0,No carpark,0,0,0,25200000,271259
21584,12/12/20,Zhongshan District,NULL,Land+Building,1,1,0,0,No,4,Apartment_5storey,Strengthened Brickwork,25.5,75.6,75.6,0,0,3,2,1,0,No carpark,0,0,0,13400000,177249
21585,12/13/20,Neihu District,2008,Land+Building+Garage,1,1,1,1,Yes,13,Apartment_11storeyorgreater,Reinforced Concrete,38.98,198.04,98.42,11.81,7.32,4,2,1,1,Ramp Plane,30.4,0,1,32500000,164108
21586,12/1/20,Zhongshan District,2000,Land+Building+Garage,1,1,1,1,Yes,10,Apartment_5to10storey,Reinforced Concrete,43.31,143.09,71.49,0,7.62,3,2,1,1,Ramp Plane,0,0,1,20000000,139772
